ItemID,ItemName,FileName,FileNameTrim,,,,,,,,,Similar left,Similar right
1,Moleskine Classic Notebook,sq_moleskine_classic.png,sq_moleskine_classic.png,,,,,,,,,,
2,Breaking Bad Season 1,breaking bad.jpg,breakingbad.jpg,,,,,,,,,,
3,Nano Wireless Travel Mouse,sq_nano_travel_mouse.png,sq_nano_travel_mouse.png,,,,,,,,,,
4,Cuisinart Mini Food Processor,sq_cuisinart_mini.png,sq_cuisinart_mini.png,,,,,,,,,,
5,"Pilot Rolling Ball ""BeGreen"" Pens (12 count)",sq_pilot_vball_begreenpens.png,sq_pilot_vball_begreenpens.png,,,,,,,,,,
6,Dryel Home Dry-Cleaning Kit,sq_dryel_home.png,sq_dryel_home.png,,,,,,,,,,
7,Mr. Coffee Programmable CoffeeMaker,sq_mrcoffee_coffeemaker.png,sq_mrcoffee_coffeemaker.png,,,,,,,,,,
8,Brita Water Filter Pitcher,sq_brita_pitcher.png,sq_brita_pitcher.png,,,,,,,,,,
9,Bicycle playing cards,Playing Cards.jpg,PlayingCards.jpg,,,,,,,,,,
10,"The Godfather Movies, Coppola Restoration (DVD)",sq_godfather_movie.png,sq_godfather_movie.png,,,,,,,,,,
11,Nalgene Triton BPA-Free Water Bottle,sq_nalgene_slim.png,sq_nalgene_slim.png,,,,,,,,,,
12,Travel Neck Pillow,sq_travel_neck_pillow.png,sq_travel_neck_pillow.png,,,,,,,,,,
13,Com-Pad Portable Phone Charger,sq_com_pad_phone_charger.png,sq_com_pad_phone_charger.png,,,,,,,,,,
14,Excellante Flat Bottle Opener ,Flat bottle opener.jpg,Flatbottleopener.jpg,,,,,,,,,,
15,Godiva Signature Truffles ,sq_godiva_ballotin.png,sq_godiva_ballotin.png,,,,,,,,,,
16,Dorcy Waterproof LED Flashlight,sq_dorcy_waterproof_led.png,sq_dorcy_waterproof_led.png,,,,,,,,,,
17,Nike Storm Slim Waist Pack,Nike Waist pack.png,NikeWaistpack.png,,,,,,,,,,
18,Bormioli Murano Glasses (set of 4),sq_bormioli_glasses.png,sq_bormioli_glasses.png,,,,,,,,,,
19,Eagle Creek Packing Cubes,sq_eagle_creek_cube.png,sq_eagle_creek_cube.png,,,,,,,,,,
20,iHome Portable Speaker,sq_ihome_portable_speaker.png,sq_ihome_portable_speaker.png,,,,,,,,,,
21,Waffle Iron,sq_oster_waffle.png,sq_oster_waffle.png,,,,,,,,,,
22,Philadelphia Phillies Proud Fan T-Shirt-Shirt,Phillies T shirt.jpg,PhilliesTshirt.jpg,,,,,,,,,,
